Sede, Facultad, Carrera, Varones, Mujeres, Total,
Sede Central,Facultad de Ciencias Económicas,Contador Público - Plan C,0,2,3,
Sede Central,Facultad de Ciencias Económicas,Contador Público - Plan K,5,3,8,
Sede Central,Facultad de Ciencias Económicas,Licenciatura en Administración de Empresas - Plan L,3,0,4,
Sede Central,Facultad de Ciencias Económicas,Tecnicatura Universitaria en Administración de Pequeña y Mediana Empresa - Plan P,0,2,2,
Sede Central,Facultad de Ciencias Juridicas y Sociales,Abogacía - Plan 2006,6,4,11,
Sede Central,Facultad de Ciencias Agrarias,Ingenieria Agronómica - Plan 2006,2,0,3,
Sede Central,Facultad de Ciencias de la Comunicación y de la Educación,Profesorado Universitario de Educación Física - Plan 2003,1,0,1,
Sede Central,Facultad de Arquitectura y Urbanismo,Arquitectura - Plan 2007,1,2,12,
Sede Central,Facultad de Ciencias Médicas,Licenciatura en Nutrición - Plan 2006,0,3,3,
Centro Regional Gualeguaychu,Facultad de Ciencias Económicas,Licenciatura en Marketing - Plan 2004,0,1,2,
Extensión Áulica Villaguay,Facultad de Ciencias Juridicas y Sociales,Abogacía - Plan 2006,2,3,10,
Centro Regional Paraná,Facultad de Ciencias de la Comunicación y de la Educación,Profesorado de Enseñanza Superior - Plan 2003,0,2,4,
Centro Regional Paraná,Facultad de Ciencias de la Comunicación y de la Educación,Ciclo de Licenciatura en Gestión de la Educación Primaria - 2009,0,1,1,
